"Category","Calculation Name","Formula / Logic","Inputs","Output","Source File"
"Quote Pricing","Residential Base Price","residentialBaseRate (configured per frequency)","Frequency (weekly / biweekly / monthly / one-time)","$/visit","server/services/quote-pricing.ts"
"Quote Pricing","Dog Surcharge","(dogCount − 1) × perDogSurcharge","Dog count, per-dog surcharge rate","$/visit adder","server/services/quote-pricing.ts"
"Quote Pricing","Yard Size Surcharge","Tier lookup by name match → acreage boundary match → legacy position. Returns surcharge$ for matched tier.","Submitted yard-size tier name or lot acreage, saved yardSizeTiers config","$/visit adder","server/services/quote-pricing.ts"
"Quote Pricing","Heavy Accumulation Multiplier","If dogCount > 4: basePrice × heavyAccumulationMultiplier (e.g. 1.5)","Dog count, multiplier constant","$/visit multiplier","server/services/quote-pricing.ts"
"Quote Pricing","Initial Clean Fee","MIN(basePerVisit × initialCleanMultiplier, initialCleanCap)","Base per-visit price, multiplier, cap","One-time $ fee","server/services/quote-pricing.ts"
"Quote Pricing","Essential Package Price","Base price + dog surcharge + yard surcharge (+ heavy accumulation if applicable)","All surcharges above","$/visit","server/services/quote-pricing.ts"
"Quote Pricing","Premium Package Price","Essential + deodorizerPrice + gateCheckPrice","Essential price, add-on rates","$/visit","server/services/quote-pricing.ts"
"Quote Pricing","Deluxe Package Price","Premium + sanitizationPrice + priorityPrice","Premium price, additional add-on rates","$/visit","server/services/quote-pricing.ts"
"Quote Pricing","Commercial Labor Cost","(totalMinutes / 60) × crewRate × crewSize","Estimated service minutes, wage rate, crew size","$","server/services/quote-pricing.ts"
"Quote Pricing","Commercial Mileage Cost","distance × vehicleCostPerMile","Route distance, cost-per-mile rate","$","server/services/quote-pricing.ts"
"Quote Pricing","Commercial Subtotal","(stationCount × stationRate) + laborCost + mileageCost + dumpFee","Station count & rate, labor, mileage, dump fee","$","server/services/quote-pricing.ts"
"Quote Pricing","Commercial Multi-Visit Frequency Discount","(firstVisitPrice + additionalVisits × firstVisitPrice × (1 − discountPct)) / visitsPerWeek","First-visit price, visit count, discount %","$/visit (blended)","server/services/quote-pricing.ts"
"Quote Pricing","Commercial Final Price","Subtotal × (1 + markupPct)","Commercial subtotal, markup %","$/visit","server/services/quote-pricing.ts"
"Cost Model","Service Time Estimate","(yardAcres / 0.1) × baseTimePerTenthAcreMin + (extraDogs × extraDogMin)","Lot size (acres), extra dog count, time constants","Minutes/visit","server/services/pricing-calculator.ts"
"Cost Model","Frequency Time Modifier","serviceMinutes × frequencyMultiplier (weekly=1.0, biweekly≈1.15, monthly≈1.3)","Base service minutes, frequency","Adjusted minutes/visit","server/services/pricing-calculator.ts"
"Cost Model","Difficulty Time Modifier","serviceMinutes × difficultyMultiplier (flat=1.0, moderate≈1.15, difficult≈1.3)","Base service minutes, difficulty rating","Adjusted minutes/visit","server/services/pricing-calculator.ts"
"Cost Model","Vehicle Cost Per Mile (MPG-based)","(gasPriceCents / MPG) + wearCents","Gas price, MPG, wear cost","Cents/mile","server/services/pricing-calculator.ts"
"Cost Model","Travel Cost Per Stop","distance × vehicleCostPerMile","Distance between stops, cost/mile","$/stop","server/services/pricing-calculator.ts"
"Cost Model","Density Multiplier","CLAMP(baselineStopsPerMile / actualStopsPerMile, 0.6, 1.8)","Baseline and actual route density","Unitless multiplier on travel cost","server/services/pricing-calculator.ts"
"Cost Model","Loaded Labor Rate","hourlyWage × burdenMultiplier","Hourly wage, burden multiplier (taxes, benefits)","$/hr fully loaded","server/services/pricing-calculator.ts"
"Cost Model","Labor Cost Per Visit","(serviceMinutes / 60) × loadedLaborRate","Service minutes, loaded labor rate","$/visit","server/services/pricing-calculator.ts"
"Cost Model","Overhead Allocation Per Stop","totalMonthlyOverheadDollars / estimatedMonthlyStops","Monthly overhead total, stop volume","$/stop overhead","server/services/pricing-calculator.ts"
"Cost Model","Total Cost Per Visit","laborCost + travelCost + suppliesCost + overheadAllocation","All cost components above","$/visit total cost","server/services/pricing-calculator.ts"
"Cost Model","Recommended Price (Margin-based)","totalCostPerVisit / (1 − targetMarginPct)","Total cost, target margin %","$/visit recommended","server/services/pricing-calculator.ts"
"Cost Model","Cluster Discount","If neighbor distance < 0.05 mi: price × (1 − clusterDiscountPct)","Neighbor proximity, discount %","$/visit reduced price","server/services/pricing-calculator.ts"
"Cost Model","Market Anchor Clamp","CLAMP(recommendedPrice, marketAvg × (1−tolerance), marketAvg × (1+tolerance))","Recommended price, local market average, tolerance %","$/visit market-adjusted","server/services/pricing-calculator.ts"
"Profitability","Gross Profit Per Route","totalRevenue − (serviceLaborCost + driveLaborCost + vehicleFuelCost)","Revenue, labor split, vehicle cost","$/route gross profit","server/services/planner/routeEconomics.ts"
"Profitability","Gross Margin Per Route","(grossProfit / totalRevenue) × 100","Gross profit, revenue","% margin","server/services/planner/routeEconomics.ts"
"Profitability","Revenue Per Route Hour","totalRevenue / totalRouteDurationHours","Revenue, total hours (drive + service)","$/hr","server/services/planner/routeEconomics.ts"
"Profitability","Drive Labor Share","driveLaborCost / totalRevenue","Drive labor cost, revenue","% of revenue consumed by driving","server/services/planner/routeEconomics.ts"
"Profitability","Excess Travel Waste Cost","(actualTravelMin − targetTravelMin) × (loadedLaborRate / 60)","Actual vs target travel minutes, labor rate","$","server/services/planner/routeEconomics.ts"
"Profitability","Job Price Health Score","currentPrice vs targetCostPerVisit (labor + travel + supplies + overhead)","Current billed price, cost components","Under / At / Over priced flag","server/services/job-economics-engine.ts"
"Profitability","Customer Profitability","annualRevenue − (annualLaborCost + annualTravelCost + annualSuppliesCost + annualOverhead)","Revenue and cost per contact over period","$/year net profit per customer","server/services/profitability-calculator.ts"
"Profitability","Route Profit Map","Per-route gross margin plotted geographically","Route revenue, cost, and stop GPS coordinates","Color-coded map layer","server/services/profitability-calculator.ts"
"Profitability","Profitability Advisor Score","Weighted score across margin %, revenue/hr, drive share, and excess travel","Route economics metrics","0–100 score + recommendations","server/services/profitability-advisor.ts"
"Pricing Simulation","Price Change Impact","Δrevenue = (newPrice − oldPrice) × activeCustomerCount","Price delta, customer count","$/month revenue impact","server/services/pricing-simulator.ts"
"Pricing Simulation","Churn-Adjusted Revenue Impact","Δrevenue × (1 − estimatedChurnRate)","Revenue impact, estimated churn rate at new price","$/month risk-adjusted","server/services/pricing-simulator.ts"
"Pricing Simulation","Break-Even Volume","fixedOverhead / (price − variableCostPerVisit)","Overhead, price, variable cost","Stops/month to break even","server/services/pricing-simulator.ts"
"Invoicing","Line Item Amount","qty × unitPrice","Quantity, unit price","$","server/invoice-engine/invoice.compute.ts"
"Invoicing","Invoice Subtotal","SUM(lineItem amounts)","All line items","$","server/invoice-engine/invoice.compute.ts"
"Invoicing","Discount","Fixed $ or % × subtotal","Discount type and value","$ reduction","server/invoice-engine/invoice.compute.ts"
"Invoicing","Tax","(subtotal − discount) × taxRatePct","Taxable subtotal, tax rate","$","server/invoice-engine/invoice.compute.ts"
"Invoicing","Invoice Total","(subtotal − discount) + tax","Subtotal, discount, tax","$","server/invoice-engine/invoice.compute.ts"
"Invoicing","Balance Due","invoiceTotal − amountPaid","Total, payments applied","$","server/invoice-engine/invoice.compute.ts"
"Overhead","Total Monthly Overhead","SUM(advertising + payrollProvider + benefits + insurance + software + other + disinfectant + deodorizer + bags)","Individual line-item overhead entries (cents)","$/month","client/src/pages/unified-pricing-engine.tsx + server/routes/pricing.ts"
"Overhead","Cost Per Stop (Overhead Only)","totalMonthlyOverhead / estimatedMonthlyStops","Monthly overhead, volume estimate","$/stop","server/services/pricing-calculator.ts"
"SaaS Analytics","MRR (Monthly Recurring Revenue)","SUM(subscriptionPrice for all active tenants)","Active tenant subscription tiers","$/month","server/admin-analytics.ts"
"SaaS Analytics","ARR (Annual Recurring Revenue)","MRR × 12","MRR","$/year","server/admin-analytics.ts"
"SaaS Analytics","Net Revenue Retention (NRR)","(currentMRR / lastMonthMRR) × 100","MRR this month vs last month","%","server/admin-analytics.ts"
"SaaS Analytics","Logo Churn Rate","(canceledThisMonth / activeAtStartOfMonth) × 100","Cancel count, starting active count","% of accounts churned","server/admin-analytics.ts"
"SaaS Analytics","MRR Churn","SUM(subscriptionPrice for tenants canceled this month)","Canceled tenant subscription values","$/month lost","server/admin-analytics.ts"
"SaaS Analytics","SaaS Gross Margin","(MRR − platformOverhead) / MRR","MRR, SMS cost ($0.0075/segment), email cost ($0.001/ea), Stripe fees (2.9% + $0.30/txn)","%","server/admin-analytics.ts"
"SaaS Analytics","Churn Risk Score","failedPayments×25 + inactivity>14d×20 + nonActivation×15 + (other signals)","Per-tenant behavioral signals","0–100 risk score","server/admin-analytics.ts"
"Revenue Dashboard","Monthly Revenue Collected","SUM(payments received in calendar month)","Payment records, date filter","$/month","server/routes/billing.ts + invoices.ts"
"Revenue Dashboard","Outstanding A/R","SUM(balance due on all open invoices)","Open invoice balances","$","server/routes/invoices.ts"
